Location,Post Office,State,Postcode,Latitude,Longitude
Jalan Kuala Krai Batu 3 1/4,Kota Bharu,Kelantan,15150,6.0973184,102.2400578
Jalan Kuala Krai Belakang JPJ Lama,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Kuala Krai Off Kampung Puteh,Kota Bharu,Kelantan,15150,6.0963432,102.2399877
Jalan Kubang Siput,Kota Bharu,Kelantan,16150,6.10508,102.334934
Jalan Kubur Keling,Kota Bharu,Kelantan,15300,6.1448809,102.2419173
Jalan Langgar,Kota Bharu,Kelantan,15000,6.1160271,102.248334
Jalan Langgar Kiri,Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Jalan Langgar Raja,Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Jalan Langgar kanan,Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Jalan Lapangan Terbang,Kota Bharu,Kelantan,16100,6.1697722,102.2931816
Jalan Long Yunus,Kota Bharu,Kelantan,15200,6.1205486,102.2568367
Jalan Long Yunus Off Jalan Pengkalan Chepa,Kota Bharu,Kelantan,15400,6.132031,102.2542565
Jalan Lubang Kacang,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Lundang,Kota Bharu,Kelantan,15200,6.114552,102.2671267
Jalan Mahmood,Kota Bharu,Kelantan,15200,6.1243344,102.241981
Jalan Mahmood,Kota Bharu,Kelantan,15400,6.1243344,102.241981
Jalan Maju,Kota Bharu,Kelantan,15000,6.1263671,102.2391075
Jalan Maktab,Kota Bharu,Kelantan,16100,6.1628921,102.2895138
Jalan Masjid,Kota Bharu,Kelantan,15000,6.1325543,102.2360719
Jalan Masjid (Kampung Chicha),Kota Bharu,Kelantan,16150,6.0958319,102.2347949
Jalan Masjid Bayam,Kota Bharu,Kelantan,15200,6.1160226,102.2742157
Jalan Masjid Cherang,Kota Bharu,Kelantan,15200,6.1241696,102.2676408
Jalan Masjid Kota,Kota Bharu,Kelantan,15150,6.1015911,102.2592722
Jalan Masjid Lundang,Kota Bharu,Kelantan,15150,6.1015911,102.2592722
Jalan Masjid Mentuan,Kota Bharu,Kelantan,16150,6.115113,102.279791
Jalan Masjid Muhamaadi Kota Bharu,Kota Bharu,Kelantan,15000,6.1322125,102.2364849
Jalan Masjid Mustaqin,Kota Bharu,Kelantan,15200,6.1078802,102.2664331
Jalan Masjid Padang Enggang,Kota Bharu,Kelantan,15150,6.0871265,102.2471849
Jalan Masjid Pasir Hor,Kota Bharu,Kelantan,15200,6.0892657,102.2663265
Jalan Masjid Pauh,Kota Bharu,Kelantan,15200,6.1156918,102.2504893
Jalan Merbau,Kota Bharu,Kelantan,15300,6.1342003,102.2406386
Jalan Mustapha,Kota Bharu,Kelantan,15350,6.142189,102.237033
Jalan Padang Bemban,Kota Bharu,Kelantan,16150,6.0789364,102.3110017
Jalan Padang Enggang,Kota Bharu,Kelantan,15150,6.0871265,102.2471849
Jalan Padang Garong,Kota Bharu,Kelantan,15000,6.1279526,102.2410351
Jalan Padang Golf,Kota Bharu,Kelantan,16100,6.1420629,102.2972397
Jalan Padang Pakat,Kota Bharu,Kelantan,15150,6.108427,102.254355
Jalan Pak Nik Ya,Kota Bharu,Kelantan,15300,6.1356194,102.2385131
Jalan Parit,Kota Bharu,Kelantan,16150,6.0878328,102.2740251
Jalan Parit Dalam,Kota Bharu,Kelantan,15000,6.1294424,102.239982
Jalan Pasar Borong Wakaf Che Yeh,Kota Bharu,Kelantan,15150,6.0881915,102.2376537
Jalan Pasar Buluh Kubu,Kota Bharu,Kelantan,15000,6.1300597,102.2391698
Jalan Pasar Lama,Kota Bharu,Kelantan,15000,6.1310965,102.2344953
Jalan Pasir Hor,Kota Bharu,Kelantan,15200,6.0969271,102.2706438
Jalan Pasir Hor Padang Enggang,Kota Bharu,Kelantan,15150,6.0782181,102.2437035
Jalan Pasir Kota,Kota Bharu,Kelantan,15100,6.0953316,102.2277582
Jalan Pasir Mas Salor,Kota Bharu,Kelantan,15100,6.069878,102.2314672
Jalan Pasir Mas Salor Batu 7 3/4,Kota Bharu,Kelantan,15100,5.83436,102.155979
Jalan Pasir Puteh (Km 1 - 5),Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Jalan Pasir Puteh (Km 6 - 7),Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Jalan Pasir Puteh Kanan,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Pasir Puteh Kiri,Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Jalan Pauh,Kota Bharu,Kelantan,15200,6.1158986,102.2458614
Jalan Pejabat FAMA,Kota Bharu,Kelantan,15200,6.1077376,102.265676
Jalan Pekeliling,Kota Bharu,Kelantan,15200,6.1153607,102.2553599
Jalan Pekeliling Kiri Off Jalan Pengkalan Chepa,Kota Bharu,Kelantan,15400,6.1431523,102.2605144
Jalan Pekeliling Off Taman Maju,Kota Bharu,Kelantan,15200,6.1183607,102.2157196
Jalan Pendek,Kota Bharu,Kelantan,15000,6.129483,102.2402963
Jalan Pengkalan Chepa,Kota Bharu,Kelantan,15400,6.1454253,102.2671297
Jalan Pengkalan Chepa (Batu 2),Kota Bharu,Kelantan,15400,6.1506673,102.2699046
Jalan Perdana Resort,Kota Bharu,Kelantan,15350,6.19293,102.27747
Jalan Pintu Geng,Kota Bharu,Kelantan,15100,6.0965062,102.2306212
Jalan Pintu Pong,Kota Bharu,Kelantan,15000,6.130183,102.2417
Jalan Pondok Batu 6,Kota Bharu,Kelantan,15100,6.0687661,102.2402828
Jalan Pondok Kenali,Kota Bharu,Kelantan,16150,6.0878006,102.2816426
Jalan Pondok Terusan,Kota Bharu,Kelantan,16150,6.0548393,102.2902223
Jalan Post Office Lama,Kota Bharu,Kelantan,15000,6.1295731,102.2347429
Jalan Pulau Belacan,Kota Bharu,Kelantan,16100,6.1369249,102.3152783
Jalan Pulau Hilir,Kota Bharu,Kelantan,16150,6.0908429,102.2927839
Jalan Pulau Raja,Kota Bharu,Kelantan,16150,6.0908429,102.2927839
Jalan Pulau Tengah,Kota Bharu,Kelantan,16150,6.10508,102.334934
Jalan Puteri Saadong,Kota Bharu,Kelantan,15100,6.0885065,102.2314661
Jalan Raja Dewa Hilir,Kota Bharu,Kelantan,15150,6.1107,102.2442484
Jalan Raja Dewa Hilir Tengah,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Raja Dewa Hulu,Kota Bharu,Kelantan,15150,6.111529,102.2430945
Jalan Raja Muda,Kota Bharu,Kelantan,15000,6.1308618,102.2725856
Jalan Raja Petani,Kota Bharu,Kelantan,15050,6.1209987,102.2388339
Jalan Rela,Kota Bharu,Kelantan,16150,6.10508,102.334934
Jalan Sabak,Kota Bharu,Kelantan,16100,6.159738,102.32884
Jalan Salor,Kota Bharu,Kelantan,15100,6.0408385,102.1984771
Jalan Salor Batu 4 3/4 - 7 3/4,Kota Bharu,Kelantan,15100,6.052552,102.2164368
Jalan Sekolah,Kota Bharu,Kelantan,16150,6.1134855,102.3070156
Jalan Sekolah (Kampung Keling),Kota Bharu,Kelantan,16150,6.042374,102.261726
Jalan Sekolah Arab Kampung Panjang,Kota Bharu,Kelantan,16150,6.10508,102.334934
Jalan Sekolah Kadir Adabi,Kota Bharu,Kelantan,15050,6.1233267,102.2580987
Jalan Sekolah Kebangsaan Lundang,Kota Bharu,Kelantan,15150,6.1016135,102.2602214
Jalan Sekolah Kebangsaan Paloh,Kota Bharu,Kelantan,15100,6.0998999,102.2323265
Jalan Sekolah Kebangsaan Tiong,Kota Bharu,Kelantan,15150,6.068805,102.2496414
Jalan Sekolah Menengah,Kota Bharu,Kelantan,16150,6.132122,102.321156
Jalan Sekolah Menengah Kota,Kota Bharu,Kelantan,15150,6.107736,102.2499403
Jalan Sekolah Seribong,Kota Bharu,Kelantan,16150,6.0577787,102.2813579
Jalan Seri Chemerlang,Kota Bharu,Kelantan,15300,6.1297532,102.245275
Jalan Seribong,Kota Bharu,Kelantan,16150,6.0648447,102.2620791
Jalan Sri Langgar,Kota Bharu,Kelantan,15200,6.1140201,102.2508553
Jalan Sri Maharaja,Kota Bharu,Kelantan,15000,6.128643,102.2367425
Jalan Stadium Hulu,Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Jalan Stan,Kota Bharu,Kelantan,16150,6.0788887,102.2850046
Jalan Stesen Bas,Kota Bharu,Kelantan,15000,6.1281429,102.239537
Jalan Suara Muda,Kota Bharu,Kelantan,15000,6.1272225,102.2390799
Jalan Sultan,Kota Bharu,Kelantan,15000,6.1315703,102.2357758
Jalan Sultan Ibrahim,Kota Bharu,Kelantan,15050,6.1183821,102.2407045
Jalan Sultan Ibrahim Kanan,Kota Bharu,Kelantan,15050,6.1151766,102.2347654
Jalan Sultan Ibrahim Kiri,Kota Bharu,Kelantan,15050,6.1151766,102.2347654
Jalan Sultan Yahya Petra,Kota Bharu,Kelantan,15200,6.1051438,102.2600127
Jalan Sultan Yahya Petra Batu 3 1/2,Kota Bharu,Kelantan,15200,6.0975585,102.2724407
Jalan Sultan Yahya Petra Batu 3 1/4,Kota Bharu,Kelantan,15200,6.1051438,102.2600127
Jalan Sultan Yahya Putera,Kota Bharu,Kelantan,15150,6.1082426,102.2558002
Jalan Sultanah Zainab,Kota Bharu,Kelantan,15000,6.1299144,102.236364
Jalan Sultanah Zainab Kampung Sireh,Kota Bharu,Kelantan,15050,6.1170418,102.2357007
Jalan Sungai Keladi Atas,Kota Bharu,Kelantan,15300,6.142442,102.2395933
Jalan Sungai Keladi Bawah,Kota Bharu,Kelantan,15300,6.1448809,102.2419173
Jalan Syed Omar,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Tali Air Cherang,Kota Bharu,Kelantan,15200,6.1202602,102.2684827
Jalan Tali Ayer,Kota Bharu,Kelantan,16150,6.10508,102.334934
Jalan Taman Adika,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Taman Hilal,Kota Bharu,Kelantan,15150,6.1084449,102.2544269
Jalan Taman Jelutong,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Jalan Taman Kampung Puteh,Kota Bharu,Kelantan,15150,6.112012,102.2416097
Jalan Taman Seri,Kota Bharu,Kelantan,15200,6.121034,102.241569
Jalan Taman Seri Bahari,Kota Bharu,Kelantan,15200,6.1245843,102.2661163
Jalan Taman Telipot,Kota Bharu,Kelantan,15150,6.1084158,102.2487221
Jalan Taman Telok Baru,Kota Bharu,Kelantan,15200,6.108306,102.275226
Jalan Tanjong Seri Wangsa,Kota Bharu,Kelantan,15400,6.1431523,102.2605144
Jalan Tanjong Sri Akar,Kota Bharu,Kelantan,15300,6.1448809,102.2419173
Jalan Tanjung Puteri,Kota Bharu,Kelantan,15300,6.1378736,102.2687542
Jalan Telaga Limau,Kota Bharu,Kelantan,15150,6.1365562,102.2551751
Jalan Telaga Nibong,Kota Bharu,Kelantan,15400,6.138498,102.2558205
Jalan Telipot,Kota Bharu,Kelantan,15150,6.1084158,102.2487221
Jalan Telipot Taman Restu,Kota Bharu,Kelantan,15150,6.1082386,102.2554153
Jalan Teluk,Kota Bharu,Kelantan,15200,6.1096637,102.2811641
Jalan Temenggong,Kota Bharu,Kelantan,15000,6.1277895,102.237405
Jalan Tengku Bendahara,Kota Bharu,Kelantan,15000,6.1307588,102.2347654
Jalan Tengku Besar,Kota Bharu,Kelantan,15000,6.131104,102.2357608
Jalan Tengku Chik,Kota Bharu,Kelantan,15000,6.1299984,102.2355728
Jalan Tengku Ismail,Kota Bharu,Kelantan,15150,6.1078942,102.2513903
Jalan Tengku Maharani,Kota Bharu,Kelantan,15000,6.1295538,102.2409993
Jalan Tengku Maharani Puteri,Kota Bharu,Kelantan,15000,6.1295538,102.2409993
Jalan Tengku Mahkota,Kota Bharu,Kelantan,15300,6.1309191,102.2441684
Jalan Tengku Puteri,Kota Bharu,Kelantan,15300,6.1309191,102.2441684
Jalan Tengku Redzuan,Kota Bharu,Kelantan,15300,6.1383752,102.2397161
Jalan Tengku Seri Akar,Kota Bharu,Kelantan,15300,6.1322911,102.2380033
Jalan Tini,Kota Bharu,Kelantan,15200,6.1241696,102.2676408
Jalan Titian Datok,Kota Bharu,Kelantan,15200,6.0987066,102.2667329
Jalan Tok Hakim,Kota Bharu,Kelantan,15000,6.1291607,102.2370543
Jalan Tok Kong,Kota Bharu,Kelantan,15350,6.1294184,102.2426901
Jalan Tok Semaian,Kota Bharu,Kelantan,15300,6.1448809,102.2419173
Jalan Tok Semian,Kota Bharu,Kelantan,15000,6.1339621,102.237345
Jalan Wakaf Che Yeh,Kota Bharu,Kelantan,15150,6.0903216,102.2312138
Jalan Wakaf Mek Zainab,Kota Bharu,Kelantan,15300,6.1390191,102.2412867
Jalan Wakaf Stan,Kota Bharu,Kelantan,16150,6.0788887,102.2850046
Jalan Wakaf Stan (Km 7),Kota Bharu,Kelantan,16150,6.10508,102.334934
Jalan Yakobiah,Kota Bharu,Kelantan,15200,6.1194604,102.2701835
Jalan Zainab,Kota Bharu,Kelantan,15050,6.1179346,102.2353453
Jalan Zainal Abidin,Kota Bharu,Kelantan,15050,6.122948,102.2371267
Jambatan 1 Dan 2 Paloh,Kota Bharu,Kelantan,15100,6.1164038,102.2283411
KGMK,Kota Bharu,Kelantan,15300,6.1325319,102.2602466
Kampung Alor Pinang,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Alor Tok Haji,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Aman,Kota Bharu,Kelantan,15150,6.1103601,102.2485317
Kampung Atas Gong,Kota Bharu,Kelantan,16150,6.143685,102.2352931
Kampung Atas Pagar,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Atas Pengget,Kota Bharu,Kelantan,15100,6.006472,102.2016209
Kampung Aur Duri,Kota Bharu,Kelantan,15100,6.0252384,102.1594084
Kampung Aur Duri Salor,Kota Bharu,Kelantan,15100,6.0252384,102.1594084
Kampung Ayer Deras (Km 5),Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Badak Mati,Kota Bharu,Kelantan,16150,6.129631,102.243462
Kampung Badang,Kota Bharu,Kelantan,15350,6.19067,102.2733
Kampung Baloh Raja,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Banggol,Kota Bharu,Kelantan,15350,6.156175,102.2457938
Kampung Banggol Jalan Pantai Cinta Berahi,Kota Bharu,Kelantan,15350,6.155992,102.244818
Kampung Banggu,Kota Bharu,Kelantan,16150,6.1060641,102.2384978
Kampung Baru,Kota Bharu,Kelantan,15100,6.077437,102.23557
Kampung Baru 3 Batu 3 3/4 Jalan Kuala Krai,Kota Bharu,Kelantan,15150,6.0972231,102.2400523
Kampung Baru Badang,Kota Bharu,Kelantan,15350,6.1832452,102.2812785
Kampung Baru Chabang Tiga (Kedai Buloh),Kota Bharu,Kelantan,15350,6.1294184,102.2426901
Kampung Baru Jalan Hamzah,Kota Bharu,Kelantan,15050,6.1165859,102.2392298
Kampung Baru Jempar,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Kampung Baru Off Jalan Kuala Krai,Kota Bharu,Kelantan,15050,6.0817108,102.2384262
Kampung Baru PCB,Kota Bharu,Kelantan,15350,6.1956378,102.2745073
Kampung Baru Padang Sakar,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Baru Salor,Kota Bharu,Kelantan,15100,6.0835379,102.2320277
Kampung Batu 4 (Kota),Kota Bharu,Kelantan,15100,6.0755328,102.2319495
Kampung Batu 8,Kota Bharu,Kelantan,16010,6.0173322,102.2407718
Kampung Batu Dua,Kota Bharu,Kelantan,15150,6.107941,102.240963
Kampung Batu Hampar,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Baung,Kota Bharu,Kelantan,16100,6.160956,102.2756659
Kampung Baung (Bayam),Kota Bharu,Kelantan,15200,6.117402,102.2760742
Kampung Bawah Lembah,Kota Bharu,Kelantan,15050,6.1098539,102.2351582
Kampung Bawah Lembah Blk SIC,Kota Bharu,Kelantan,15150,6.110091,102.235036
Kampung Bayam,Kota Bharu,Kelantan,15200,6.116631,102.2660662
Kampung Bayam Guchil,Kota Bharu,Kelantan,15200,6.112222,102.275588
Kampung Bayang,Kota Bharu,Kelantan,15200,6.1117248,102.2719604
Kampung Bechah,Kota Bharu,Kelantan,16150,6.06698,102.1997632
Kampung Bechah Gerda,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Bechah Tanjong Mas,Kota Bharu,Kelantan,15400,6.147002,102.2588039
Kampung Bechah Tembusu,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Belian,Kota Bharu,Kelantan,15350,6.155992,102.244818
Kampung Belimbing,Kota Bharu,Kelantan,16010,5.8446937,102.1616045
Kampung Belukar,Kota Bharu,Kelantan,15200,6.120698,102.286134
Kampung Belukar,Kota Bharu,Kelantan,16150,6.120698,102.286134
Kampung Belukar (Kubang Kerian),Kota Bharu,Kelantan,16150,6.120698,102.286134
Kampung Belukar Badang,Kota Bharu,Kelantan,15350,6.120698,102.286134
Kampung Belukar Belakang,Kota Bharu,Kelantan,15150,6.1013325,102.2690549
Kampung Belukar Benut Payong,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Kampung Belukar Cabang,Kota Bharu,Kelantan,15150,6.147202,102.162729
Kampung Belukar Jalan Telipot,Kota Bharu,Kelantan,15150,6.1084158,102.2487221
Kampung Belukar Jenerah,Kota Bharu,Kelantan,15150,5.8682946,102.2367236
Kampung Belukar Limbat,Kota Bharu,Kelantan,16150,6.0390446,102.2161726
Kampung Belukar Padang Tengah,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Belukar Panji,Kota Bharu,Kelantan,15200,6.120698,102.286134
Kampung Belukar Pauh Tapang,Kota Bharu,Kelantan,15200,6.1201245,102.2892222
Kampung Belukar Salor,Kota Bharu,Kelantan,15100,6.0390446,102.2161726
Kampung Bentong,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Kampung Bentong 1 & 2,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Benut,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Berangan,Kota Bharu,Kelantan,16010,6.006307,102.239959
Kampung Berek,Kota Bharu,Kelantan,16150,6.0525205,102.3015902
Kampung Berek Kastam,Kota Bharu,Kelantan,15400,6.1431523,102.2605144
Kampung Berhala Lima,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Beringin,Kota Bharu,Kelantan,15100,6.0852287,102.2270559
Kampung Beris Jambu,Kota Bharu,Kelantan,16100,6.135001,102.28986
Kampung Beris Jejawi,Kota Bharu,Kelantan,16100,6.1384281,102.2962869
Kampung Beris Kemumin,Kota Bharu,Kelantan,16100,6.135312,102.2918911
Kampung Beris Lanjut,Kota Bharu,Kelantan,16100,6.135312,102.2918911
Kampung Beruk,Kota Bharu,Kelantan,16150,6.128308,102.242521
Kampung Beta Chekeli,Kota Bharu,Kelantan,15100,6.0147568,102.2151674
Kampung Beta Hilir,Kota Bharu,Kelantan,15100,6.116105,102.247971
Kampung Beting Lebar,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Betong,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Biah,Kota Bharu,Kelantan,16010,6.051796,102.243868
Kampung Bilok,Kota Bharu,Kelantan,16150,6.0737234,102.2801362
Kampung Binjai (Kubang Kerian),Kota Bharu,Kelantan,16150,6.0776791,102.2990642
Kampung Binjai (Mulong),Kota Bharu,Kelantan,16010,6.0387886,102.2307121
Kampung Binjai Badang,Kota Bharu,Kelantan,15350,6.1237267,102.2023972
Kampung Binjai Baru,Kota Bharu,Kelantan,15350,6.1237267,102.2023972
Kampung Binjai Limbat,Kota Bharu,Kelantan,16150,6.037371,102.2825588
Kampung Binjai Manis,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Bukit Marak (Kubang Kerian),Kota Bharu,Kelantan,16150,6.0762912,102.2987759
Kampung Bunga Mas,Kota Bharu,Kelantan,15350,6.1479798,102.2371213
Kampung Bunut Payong Kanan,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Kampung Bunut Payong Lembah,Kota Bharu,Kelantan,15150,6.109114,102.238944
Kampung Buruh,Kota Bharu,Kelantan,15150,6.1076295,102.2527723
Kampung Chabang Empat Bayam,Kota Bharu,Kelantan,15200,6.1163567,102.2673288
Kampung Chabang Tiga Pendek,Kota Bharu,Kelantan,15100,6.051014,102.2163221
Kampung Che Deris,Kota Bharu,Kelantan,15350,6.180048,102.2731802
Kampung Che Kemat,Kota Bharu,Kelantan,15350,6.1294184,102.2426901
Kampung Chedong,Kota Bharu,Kelantan,16010,6.123938,102.2728201
Kampung Chee Bee,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Chekeli,Kota Bharu,Kelantan,15100,6.0147568,102.2151674
Kampung Chekok Panji,Kota Bharu,Kelantan,16100,5.958393,102.2146499
Kampung Chempaka,Kota Bharu,Kelantan,16100,6.136625,102.2752888
Kampung Chenok,Kota Bharu,Kelantan,16010,6.0872405,102.2385992
Kampung Chepa,Kota Bharu,Kelantan,16150,6.093547,102.299423
Kampung Cherang,Kota Bharu,Kelantan,15200,6.123938,102.2728201
Kampung Cherang Jalan Dusun Raja,Kota Bharu,Kelantan,15200,6.1308618,102.2725856
Kampung Cherang Jalan Hospital,Kota Bharu,Kelantan,15200,6.1242829,102.2703855
Kampung Cherok Belekok,Kota Bharu,Kelantan,16010,6.0499692,102.2490697
Kampung Chicha,Kota Bharu,Kelantan,16150,5.907273,102.247898
Kampung Chicha Baung,Kota Bharu,Kelantan,16100,6.1160226,102.2742157
Kampung Cina,Kota Bharu,Kelantan,15350,6.1407601,102.2363215
Kampung Cina Seksyen 2,Kota Bharu,Kelantan,15350,6.1407601,102.2363215
Kampung Dal,Kota Bharu,Kelantan,15350,6.1576217,102.2567939
Kampung Dalam Kar,Kota Bharu,Kelantan,15150,6.1272838,102.235871
Kampung Dalam Pupuh,Kota Bharu,Kelantan,16010,6.0499692,102.2490697
Kampung Dangar Banggu,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Datok,Kota Bharu,Kelantan,15100,5.8374432,102.3831202
Kampung Dedap,Kota Bharu,Kelantan,16150,6.131905,102.237752
Kampung Demit,Kota Bharu,Kelantan,16150,6.1104125,102.2846594
Kampung Demit Sungai,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Desa Baru,Kota Bharu,Kelantan,16010,6.1222049,102.2522195
Kampung Dewan,Kota Bharu,Kelantan,15100,6.0147505,102.2074293
Kampung Dewan Beta,Kota Bharu,Kelantan,15150,6.0147505,102.2074293
Kampung Dewan Beta Hilir,Kota Bharu,Kelantan,15100,6.116105,102.247971
Kampung Dusun,Kota Bharu,Kelantan,15200,6.1205058,102.2441431
Kampung Dusun (Kubang Kerian),Kota Bharu,Kelantan,16150,6.0877893,102.2471423
Kampung Dusun Beluru,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Dusun Jaya,Kota Bharu,Kelantan,15200,6.118796,102.2486879
Kampung Dusun Lada,Kota Bharu,Kelantan,15100,6.0877893,102.2471423
Kampung Dusun Muda,Kota Bharu,Kelantan,15200,6.117645,102.246944
Kampung Dusun Pinang,Kota Bharu,Kelantan,15100,6.0974888,102.2294356
Kampung Dusun Raja,Kota Bharu,Kelantan,16100,6.1294116,102.2742501
Kampung Gaung,Kota Bharu,Kelantan,15100,6.025824,102.1208051
Kampung Gaung Beta,Kota Bharu,Kelantan,15100,6.025824,102.1208051
Kampung Gaung Beta Hilir,Kota Bharu,Kelantan,15150,6.116105,102.247971
Kampung Gaung Pendek,Kota Bharu,Kelantan,15100,6.025824,102.1208051
Kampung Gayong,Kota Bharu,Kelantan,15400,6.146113,102.2566151
Kampung Gertak Kechupu,Kota Bharu,Kelantan,16150,6.122013,102.252267
Kampung Gertak Lembu,Kota Bharu,Kelantan,15100,6.040291,102.202222
Kampung Gok Kapor,Kota Bharu,Kelantan,15350,6.1400769,102.2347864
Kampung Gong Dermin,Kota Bharu,Kelantan,16150,6.0547696,102.2990481
Kampung Gong Jerat,Kota Bharu,Kelantan,16100,6.171768,102.297128
Kampung Gong Parit,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Gua,Kota Bharu,Kelantan,15100,5.8586112,102.2263345
Kampung Guchil,Kota Bharu,Kelantan,15200,6.111495,102.2734642
Kampung Guchil Bayam,Kota Bharu,Kelantan,15200,6.112222,102.275588
Kampung Gutong,Kota Bharu,Kelantan,16150,5.9194238,102.2270015
Kampung Haji Ishak,Kota Bharu,Kelantan,15400,6.1431523,102.2605144
Kampung Haji Taib,Kota Bharu,Kelantan,15400,6.1431523,102.2605144
Kampung Huda,Kota Bharu,Kelantan,15200,6.102836,102.2722718
Kampung Huda Teluk Baru,Kota Bharu,Kelantan,15200,6.1017755,102.271567
Kampung Hujong Tanjung Limau Purut,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Hutan Banggol,Kota Bharu,Kelantan,15350,6.1590379,102.248178
Kampung Jabil Padang Tengah,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Jalan Pondok Terusan,Kota Bharu,Kelantan,16150,6.0548393,102.2902223
Kampung Jambil,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Jambu,Kota Bharu,Kelantan,15400,6.122013,102.252267
Kampung Jambu (Pengkalan Chepa),Kota Bharu,Kelantan,16100,6.1416524,102.2743267
Kampung Jaya,Kota Bharu,Kelantan,15200,6.085353,102.2576519
Kampung Jaya Setia,Kota Bharu,Kelantan,15350,6.102834,102.260214
Kampung Jejabi,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Jejawi,Kota Bharu,Kelantan,16100,6.1384281,102.2962869
Kampung Jejuluk,Kota Bharu,Kelantan,16150,6.0753882,102.3298271
Kampung Jelutong (Salor),Kota Bharu,Kelantan,15100,6.0818688,102.2339288
Kampung Jelutong Kota,Kota Bharu,Kelantan,15100,6.0820922,102.2339811
Kampung Jenereh Keladang,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Jerulong Salor,Kota Bharu,Kelantan,15100,6.0402303,102.1934402
Kampung Jias Chekeli,Kota Bharu,Kelantan,15100,6.0302588,102.2033025
Kampung Karang,Kota Bharu,Kelantan,16150,6.0627778,102.3041583
Kampung Ke Sing,Kota Bharu,Kelantan,15350,6.1294184,102.2426901
Kampung Kedai Baru,Kota Bharu,Kelantan,16150,6.0741545,102.3132849
Kampung Kedai Buluh,Kota Bharu,Kelantan,15350,6.185802,102.2447131
Kampung Kedai Burok,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Kedeper,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Keladang,Kota Bharu,Kelantan,15100,6.121951,102.247524
Kampung Keladong,Kota Bharu,Kelantan,15150,6.0989753,102.2531091
Kampung Keling,Kota Bharu,Kelantan,16150,6.042374,102.261726
Kampung Kemachi Mantuan,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Kemarok,Kota Bharu,Kelantan,16100,6.1679361,102.3120304
Kampung Kemumin,Kota Bharu,Kelantan,16100,6.1060641,102.2384978
Kampung Kerasah,Kota Bharu,Kelantan,16150,6.10508,102.334934
Kampung Khatib Ali,Kota Bharu,Kelantan,15200,6.121013,102.253455
Kampung Kijang,Kota Bharu,Kelantan,15350,6.168366,102.2536271
Kampung Kok Pasir,Kota Bharu,Kelantan,15400,6.141172,102.2658181
Kampung Kor Hilir,Kota Bharu,Kelantan,16010,6.0270748,102.2197098
Kampung Kor Hulu,Kota Bharu,Kelantan,16010,6.00965,102.2214328
Kampung Kota,Kota Bharu,Kelantan,15100,6.086002,102.2272988
